
,1,,,,,2,,,,,3,,,,,4,,,,,5,,,,,6,,,,,7,,,,,8,,,,,9,,,,,10,,,
,Vs_vol,Vs_dis,vol,dis,,Vs_vol,Vs_dis,vol,dis,,Vs_vol,Vs_dis,vol,dis,,Vs_vol,Vs_dis,vol,dis,,Vs_vol,Vs_dis,vol,dis,,Vs_vol,Vs_dis,vol,dis,,Vs_vol,Vs_dis,vol,dis,,Vs_vol,Vs_dis,vol,dis,,Vs_vol,Vs_dis,vol,dis,,Vs_vol,Vs_dis,vol,dis
0.01,1,10,8.0114000000000005E-2,0.37855951095719498,,2,11,0.16022800000000001,0.41641546205291452,,1,5,8.0114000000000005E-2,0.18927975547859749,,0,11,0,0.41641546205291452,,1,10,8.0114000000000005E-2,0.37855951095719498,,10,11,0.80114000000000007,0.41641546205291452,,1,4,8.0114000000000005E-2,0.151423804382878,,1,10,8.0114000000000005E-2,0.37855951095719498,,1,6,8.0114000000000005E-2,0.227135706574317,,5,6,0.40057000000000004,0.227135706574317
0.02,2,10,0.16022800000000001,0.37855951095719498,,1,11,8.0114000000000005E-2,0.41641546205291452,,1,5,8.0114000000000005E-2,0.18927975547859749,,1,11,8.0114000000000005E-2,0.41641546205291452,,1,10,8.0114000000000005E-2,0.37855951095719498,,10,11,0.80114000000000007,0.41641546205291452,,1,3,8.0114000000000005E-2,0.1135678532871585,,1,10,8.0114000000000005E-2,0.37855951095719498,,1,6,8.0114000000000005E-2,0.227135706574317,,5,6,0.40057000000000004,0.227135706574317
0.03,2,9,0.16022800000000001,0.34070355986147549,,2,11,0.16022800000000001,0.41641546205291452,,1,5,8.0114000000000005E-2,0.18927975547859749,,1,12,8.0114000000000005E-2,0.45427141314863401,,1,10,8.0114000000000005E-2,0.37855951095719498,,10,11,0.80114000000000007,0.41641546205291452,,1,4,8.0114000000000005E-2,0.151423804382878,,0,10,0,0.37855951095719498,,0,6,0,0.227135706574317,,5,6,0.40057000000000004,0.227135706574317
0.04,1,9,8.0114000000000005E-2,0.34070355986147549,,1,11,8.0114000000000005E-2,0.41641546205291452,,1,5,8.0114000000000005E-2,0.18927975547859749,,2,12,0.16022800000000001,0.45427141314863401,,1,10,8.0114000000000005E-2,0.37855951095719498,,10,11,0.80114000000000007,0.41641546205291452,,1,3,8.0114000000000005E-2,0.1135678532871585,,0,10,0,0.37855951095719498,,0,7,0,0.26499165767003652,,6,7,0.480684,0.26499165767003652
0.05,1,9,8.0114000000000005E-2,0.34070355986147549,,1,11,8.0114000000000005E-2,0.41641546205291452,,1,5,8.0114000000000005E-2,0.18927975547859749,,1,12,8.0114000000000005E-2,0.45427141314863401,,1,10,8.0114000000000005E-2,0.37855951095719498,,10,11,0.80114000000000007,0.41641546205291452,,1,4,8.0114000000000005E-2,0.151423804382878,,2,10,0.16022800000000001,0.37855951095719498,,0,7,0,0.26499165767003652,,6,7,0.480684,0.26499165767003652
0.06,1,9,8.0114000000000005E-2,0.34070355986147549,,1,11,8.0114000000000005E-2,0.41641546205291452,,1,5,8.0114000000000005E-2,0.18927975547859749,,1,12,8.0114000000000005E-2,0.45427141314863401,,1,10,8.0114000000000005E-2,0.37855951095719498,,10,11,0.80114000000000007,0.41641546205291452,,1,4,8.0114000000000005E-2,0.151423804382878,,1,10,8.0114000000000005E-2,0.37855951095719498,,1,7,8.0114000000000005E-2,0.26499165767003652,,6,7,0.480684,0.26499165767003652
0.070000,1,9,8.0114000000000005E-2,0.34070355986147549,,1,12,8.0114000000000005E-2,0.45427141314863401,,1,5,8.0114000000000005E-2,0.18927975547859749,,0,11,0,0.41641546205291452,,0,9,0,0.34070355986147549,,11,12,0.88125400000000009,0.45427141314863401,,1,4,8.0114000000000005E-2,0.151423804382878,,2,10,0.16022800000000001,0.37855951095719498,,0,6,0,0.227135706574317,,5,6,0.40057000000000004,0.227135706574317
0.08,1,10,8.0114000000000005E-2,0.37855951095719498,,1,11,8.0114000000000005E-2,0.41641546205291452,,1,5,8.0114000000000005E-2,0.18927975547859749,,1,12,8.0114000000000005E-2,0.45427141314863401,,1,10,8.0114000000000005E-2,0.37855951095719498,,10,11,0.80114000000000007,0.41641546205291452,,1,4,8.0114000000000005E-2,0.151423804382878,,1,10,8.0114000000000005E-2,0.37855951095719498,,0,6,0,0.227135706574317,,5,6,0.40057000000000004,0.227135706574317
0.09,2,10,0.16022800000000001,0.37855951095719498,,2,11,0.16022800000000001,0.41641546205291452,,2,6,0.16022800000000001,0.227135706574317,,1,12,8.0114000000000005E-2,0.45427141314863401,,1,10,8.0114000000000005E-2,0.37855951095719498,,10,11,0.80114000000000007,0.41641546205291452,,1,3,8.0114000000000005E-2,0.1135678532871585,,1,10,8.0114000000000005E-2,0.37855951095719498,,0,7,0,0.26499165767003652,,6,7,0.480684,0.26499165767003652
0.10,2,10,0.16022800000000001,0.37855951095719498,,2,12,0.16022800000000001,0.45427141314863401,,1,5,8.0114000000000005E-2,0.18927975547859749,,1,12,8.0114000000000005E-2,0.45427141314863401,,1,10,8.0114000000000005E-2,0.37855951095719498,,11,12,0.88125400000000009,0.45427141314863401,,0,4,0,0.151423804382878,,0,10,0,0.37855951095719498,,0,7,0,0.26499165767003652,,6,7,0.480684,0.26499165767003652
